Product,Items,Price,id,dateandtime
Computer,5,300,1,06-05-2022 12:23
Smartphone,3,300,1,07-05-2022 12:23
Loudspeaker,3,60,1,08-05-2022 12:23
Radio,4,50,1,09-05-2022 12:23
Loudspeaker,5,55,1,10-05-2022 12:23
Tv,7,350,1,11-05-2022 12:23
Ps4,9,500,2,12-05-2022 12:23
Computer,12,450,2,13-05-2022 12:23
Gameboy,34,200,2,14-05-2022 12:23
Tv,12,305,1,15-05-2022 12:23
Radio,3,150,1,16-05-2022 12:23
Computer,45,450,2,17-05-2022 12:23
Tv,6,230,2,18-05-2022 12:23
Smartphone,7,200,2,19-05-2022 12:23
Mouse,8,45,1,20-05-2022 12:23
Mousepad,9,3,2,21-05-2022 12:23
Radio,89,120,2,22-05-2022 12:23
Computer,56,300,2,23-05-2022 12:23
Ps4,34,1000,2,24-05-2022 12:23
Smartphone,12,500,1,25-05-2022 12:23
